pulp_to_mixing_tank23,flow_after_machine_chest21,level_condensate_bucket1_valve_position,steam_group3_pressure,steam_group4under_pressure,pressure_yankee_cylinder,steam_group5under_pressure,steam_pressure5_over,pressure_condensate_bucket5,production_paper_machine2,dry_production_vira,steamflow
166.75,2746.8,35.253,202.87,218.14,218.01,217.36,217.58,71.199,10.99,156.89,18.139
166.72,2730.9,35.238,206.37,221.15,221.73,221.48,220.92,75.47,11.037,158.03,18.15
166.72,2728.8,37.448,214.48,228.71,229.1,228.41,228.74,83,11.063,157.36,18.824
166.9,2743.9,40.707,219.82,235.23,234.4,234.45,234.31,87.25,11.054,156.73,18.838
167.18,2735.1,41.343,220.46,235.79,235.49,235.51,235.82,87.5,11.051,156.49,18.708
165.27,2711.6,43.527,205.37,220.68,220.25,220.02,220.23,85.853,11.043,157.29,17.525
165.02,2704.8,39.314,216.3,229.48,231.9,231.06,231.12,85.853,11.048,157.88,18.988
166.9,2742.1,38.11,211.48,226.37,224.99,226.09,225.96,79.875,11.099,158.13,18.479
166.84,2743.6,38.092,207.28,223.12,222.73,222.41,222.44,75.625,11.067,157.27,18.158
167.71,2748.6,39.152,205.04,220.84,220.52,220.68,221.04,76,11.084,157.9,18.05
167.13,2751.2,39.152,205.69,220.8,220.67,220.16,220.83,75.375,11.07,158.78,17.937
168.19,2784.2,38.936,214.74,229.88,230.15,229.86,229.95,83.875,11.131,158.08,18.276
168.19,2741.1,38.936,215.94,231.5,230.9,231.83,231.66,86.875,11.123,155.5,18.769
168.47,2766,37.623,218.01,232.76,232.69,233.55,233.79,88,11.123,155.23,18.552
166.45,2744.8,35.692,213.09,229.86,228.39,229.02,228.59,83.5,11.103,157.59,18.145
156.79,2586.6,31.771,173.71,187.85,187.82,187.27,186.26,41.761,10.564,147.97,13.604
155.42,2548.8,37.211,190.38,205.12,204.96,205.34,205.3,59.125,10.433,145.39,17.241
155.9,2573.1,32.859,192.16,207.52,206.85,207.28,207.15,63,10.325,146.72,17.261
157.17,2578.9,31.366,186.03,200.5,201.17,200.51,201.3,55,10.389,147.81,17.261
161.75,2646.1,33.765,199.16,213.66,213.72,214.05,213.44,67.25,10.414,152.97,17.48
161.44,2642.7,36.58,222.11,237.39,236.85,237.44,237.25,72.125,10.341,152.7,17.581
150.85,2474.8,36.58,217.04,231.12,232.77,230.59,231.94,64.89,9.8376,141.76,17.508
152.17,2484.4,35.346,219.11,234.93,235.38,234.51,234.71,67.125,9.7463,142.15,16.114
152.17,2484.2,36.937,231.49,246.45,246.04,246.46,246.77,75.75,9.7388,141.19,16.447
152.21,2481.6,37.848,244.71,259.72,259.73,259.2,259.77,81.875,9.6486,140.8,16.49
151.61,2481.5,37.073,238.25,253.53,252.88,253.63,253.61,73.25,9.7032,140.45,16.766
150.97,2479.4,37.402,236.09,250.81,251.34,250.77,251.51,72.625,9.7648,139.71,16.747
